TYPE;SUBTYPE;BRAND;YEAR;SERIE;MODEL;COMMON_NAME;COMMON_NAME_STRING
PHONE;IOS;APPLE;;IPHONE;8;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;9;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;X;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;Xr;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;Xs;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;Xs Max;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;11;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;11 Pro;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;11 Pro Max;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;12 mini;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;12;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;12 Pro;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;12 Pro Max;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;13;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;13 mini;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;13 Pro Max;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;13 Pro;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;SE (2020);SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;SE (2022);SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;14;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;14 Pro;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;14 Plus;SERIE, MODEL;
PHONE;IOS;APPLE;;IPHONE;14 Pro Max;SERIE, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;Z Fold 4;BRAND, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;Z Flip 4;BRAND, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;S22 Ultra;BRAND, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;S22+;BRAND, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;S22;BRAND, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;S21 FE;BRAND, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;Z Fold 3;BRAND, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;Z Flip 3;BRAND, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;S21 ;BRAND, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;S21 Ultra;BRAND, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;S21+;BRAND, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;S20;BRAND, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;S20 Ultra;BRAND, MODEL;
PHONE;ANDROID;SAMSUNG;;GALAXY;S20+;BRAND, MODEL;
CAMERA;PHOTO;CANON;2020;EOS;M50 Mark II;BRAND, MODEL;
CAMERA;PHOTO;CANON;2020;EOS;R6;BRAND, MODEL;
CAMERA;PHOTO;CANON;2020;EOS;R5;BRAND, MODEL;
CAMERA;PHOTO;CANON;2020;EOS;1D X Mark III;BRAND, MODEL;
CAMERA;PHOTO;CANON;2020;EOS;Ra;BRAND, MODEL;
CAMERA;PHOTO;CANON;2020;EOS;M200;BRAND, MODEL;
CAMERA;PHOTO;CANON;2020;EOS;90D;BRAND, MODEL;
CAMERA;PHOTO;CANON;2019;EOS;M6 Mark II;BRAND, MODEL;
CAMERA;PHOTO;CANON;2019;EOS;RP;BRAND, MODEL;
CAMERA;PHOTO;CANON;2018;EOS;R;BRAND, MODEL;
CAMERA;PHOTO;CANON;2018;EOS;M50;BRAND, MODEL;
CAMERA;PHOTO;CANON;2017;EOS;M100;BRAND, MODEL;
CAMERA;PHOTO;CANON;2017;EOS;6D Mark II;BRAND, MODEL;
CAMERA;PHOTO;CANON;2017;EOS;77D;BRAND, MODEL;
CAMERA;PHOTO;CANON;2017;EOS;M6;BRAND, MODEL;
CAMERA;PHOTO;CANON;2016;EOS;M5;BRAND, MODEL;
CAMERA;PHOTO;CANON;2016;EOS;5D Mark IV;BRAND, MODEL;
CAMERA;PHOTO;CANON;2016;EOS;1D X Mark II;BRAND, MODEL;
CAMERA;PHOTO;CANON;2016;EOS;80D;BRAND, MODEL;
CAMERA;PHOTO;CANON;2015;EOS;M10;BRAND, MODEL;
CAMERA;PHOTO;CANON;2015;EOS;5DS;BRAND, MODEL;
CAMERA;PHOTO;CANON;2015;EOS;5DSR;BRAND, MODEL;
CAMERA;PHOTO;CANON;2015;EOS;M3;BRAND, MODEL;
CAMERA;PHOTO;CANON;2014;EOS;7D Mark II;BRAND, MODEL;
CAMERA;PHOTO;CANON;2013;EOS;70D;BRAND, MODEL;
CAMERA;PHOTO;CANON;2012;EOS;6D;BRAND, MODEL;
CAMERA;PHOTO;CANON;2012;EOS;M;BRAND, MODEL;
CAMERA;PHOTO;CANON;2012;EOS;60Da;BRAND, MODEL;
CAMERA;PHOTO;CANON;2012;EOS;1D X;BRAND, MODEL;
CAMERA;PHOTO;CANON;2012;EOS;5D Mark III;BRAND, MODEL;
CAMERA;PHOTO;CANON;2010;EOS;60D;BRAND, MODEL;
CAMERA;PHOTO;CANON;2009;EOS;1D Mark IV;BRAND, MODEL;
CAMERA;PHOTO;CANON;2009;EOS;7D;BRAND, MODEL;
CAMERA;PHOTO;CANON;2008;EOS;5D Mark II;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2007;D;D3;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2009;D;D3S;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2008;D;D3X;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2012;D;D4;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2014;D;D4S;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2016;D;D5;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2020;D;D6;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2016;D;D500;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2012;D;D600;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2013;D;D610;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2014;D;D750;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2020;D;D780;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2012;D;D800;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2012;D;D800E;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2014;D;D810;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2014;D;D810A;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2017;D;D850;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2010;D;D3100;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2012;D;D3200;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2014;D;D3300;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2016;D;D3400;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2018;D;D3500;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2011;D;D5100;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2013;D;D5200;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2013;D;D5300;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2015;D;D5500;BRAND, MODEL;
CAMERA;PHOTO;NIKON;2016;D;D5600;BRAND, MODEL;
